datetime,open,high,low,close,total_volume,turnover_lacs,num_trades,delivered_volume,delivery_percent
25-06-2026 00:00,130.97,131.1,128.01,128.95,40872336,52827.16,125367,24232862.0,59.29
24-06-2026 00:00,130.46,131.17,129.2,130.15,19217828,25030.33,91443,10098614.0,52.55
23-06-2026 00:00,135.39,135.39,130.0,130.37,19091482,25173.04,109240,9838743.0,51.53
22-06-2026 00:00,133.85,135.0,133.64,134.82,17955985,24120.03,84740,9874918.0,55.0
19-06-2026 00:00,134.95,134.95,133.1,133.74,16485585,22072.06,57981,9259012.0,56.16
18-06-2026 00:00,135.51,136.33,134.4,134.97,16874421,22809.91,87504,8057354.0,47.75
17-06-2026 00:00,133.16,136.3,132.11,135.24,46057932,61953.3,97887,21551533.0,46.79
16-06-2026 00:00,132.36,133.49,131.64,132.83,19477515,25823.45,92746,10168291.0,52.21
15-06-2026 00:00,134.0,135.17,131.87,132.2,20283189,27038.35,64139,10722804.0,52.87
12-06-2026 00:00,130.0,131.92,128.8,131.67,25287693,32950.3,86365,8135026.0,32.17
11-06-2026 00:00,132.7,133.78,130.6,131.52,46246010,61031.8,107746,16801062.0,36.33
10-06-2026 00:00,137.51,138.26,133.11,133.46,39658979,53786.57,91229,21711474.0,54.75
09-06-2026 00:00,131.4,137.8,131.4,137.51,57740162,78240.55,126562,27103027.0,46.94
08-06-2026 00:00,134.83,136.5,131.4,131.91,29260366,39162.77,100923,12052572.0,41.19
05-06-2026 00:00,133.2,136.4,133.04,135.81,47139920,63760.49,107663,19038252.0,40.39
04-06-2026 00:00,131.0,133.45,129.73,133.12,24944436,33029.9,81021,11109233.0,44.54
03-06-2026 00:00,129.15,132.25,127.24,131.85,38359464,49627.85,90143,19438276.0,50.67
02-06-2026 00:00,127.0,129.5,125.5,129.08,39618370,50546.07,170343,20169797.0,50.91
01-06-2026 00:00,131.45,132.22,127.5,127.96,27235875,35007.91,75251,9094385.0,33.39
29-05-2026 00:00,134.96,135.15,130.15,130.8,57212379,75345.25,122373,39361207.0,68.8
27-05-2026 00:00,133.48,135.3,133.1,134.16,26115218,35043.13,75653,13087103.0,50.11
26-05-2026 00:00,134.32,135.5,132.58,133.15,23285321,31128.89,104572,9010278.0,38.7
25-05-2026 00:00,130.8,134.2,130.0,133.7,27988813,37044.85,93767,10862924.0,38.81
22-05-2026 00:00,127.99,128.78,127.66,128.23,18634807,23876.26,66061,9417714.0,50.54
21-05-2026 00:00,129.0,129.57,127.3,127.97,18615692,23838.58,90306,8934774.0,48.0
20-05-2026 00:00,125.0,128.0,123.67,127.66,21282627,26748.05,89186,9140732.0,42.95
19-05-2026 00:00,125.09,126.76,125.09,126.15,18723002,23613.63,78382,9824572.0,52.47
18-05-2026 00:00,127.0,127.0,124.0,124.9,22211890,27714.4,114693,9399261.0,42.32
15-05-2026 00:00,131.38,131.38,127.8,128.07,38366481,49624.76,93334,20423645.0,53.23
14-05-2026 00:00,129.9,132.95,127.23,130.84,27954529,36471.83,129729,8761046.0,31.34
13-05-2026 00:00,130.46,131.2,127.9,129.26,21722400,28185.5,103238,7292384.0,33.57
12-05-2026 00:00,127.66,132.35,127.43,130.01,29525188,38588.91,135932,10018770.0,33.93
11-05-2026 00:00,133.02,139.4,128.58,129.43,71593041,94960.82,254387,16168054.0,22.58
08-05-2026 00:00,135.0,135.7,133.8,134.34,16998224,22892.55,87267,7739393.0,45.53
07-05-2026 00:00,138.8,138.9,135.54,135.93,25338776,34581.7,117883,12147540.0,47.94
06-05-2026 00:00,137.23,138.36,134.51,138.04,23655306,32334.39,104110,10801750.0,45.66
05-05-2026 00:00,134.98,135.33,133.13,134.31,11758309,15798.38,57913,4466153.0,37.98
04-05-2026 00:00,135.34,137.78,134.18,134.8,11387717,15479.09,79384,3871995.0,34.0
30-04-2026 00:00,136.71,136.71,133.46,134.65,20009501,26878.25,87601,8396197.0,41.96
29-04-2026 00:00,137.36,139.5,136.22,137.06,18218577,25098.3,63403,7338296.0,40.28
28-04-2026 00:00,136.27,138.36,136.21,137.1,22276591,30562.07,92209,9556939.0,42.9
27-04-2026 00:00,141.19,142.42,139.81,140.52,13700038,19277.81,64836,5740798.0,41.9
24-04-2026 00:00,141.33,141.86,138.15,140.85,18904603,26434.37,82612,7330176.0,38.77
